city,year,weekofyear,total_cases
sj,2012,18,19
sj,2012,19,16
sj,2012,20,19
sj,2012,21,20
sj,2012,22,20
sj,2012,23,20
sj,2012,24,30
sj,2012,25,31
sj,2012,26,32
sj,2012,27,31
sj,2012,28,26
sj,2012,29,34
sj,2012,30,32
sj,2012,31,29
sj,2012,32,34
sj,2012,33,44
sj,2012,34,29
sj,2012,35,30
sj,2012,36,33
sj,2012,37,51
sj,2012,38,47
sj,2012,39,38
sj,2012,40,39
sj,2012,41,42
sj,2012,42,39
sj,2012,43,41
sj,2012,44,40
sj,2012,45,34
sj,2012,46,45
sj,2012,47,30
sj,2012,48,29
sj,2012,49,32
sj,2012,50,24
sj,2012,51,24
sj,2013,1,17
sj,2013,2,17
sj,2013,3,15
sj,2013,4,15
sj,2013,5,27
sj,2013,6,15
sj,2013,7,16
sj,2013,8,13
sj,2013,9,11
sj,2013,10,12
sj,2013,11,9
sj,2013,12,7
sj,2013,13,13
sj,2013,14,15
sj,2013,15,16
sj,2013,16,15
sj,2013,17,18
iq,2010,26,5
iq,2010,27,2
iq,2010,28,4
iq,2010,29,1
iq,2010,30,1
iq,2010,31,1
iq,2010,32,1
iq,2010,33,2
iq,2010,34,1
iq,2010,35,4
iq,2010,36,4
iq,2010,37,3
iq,2010,38,5
iq,2010,39,2
iq,2010,40,4
iq,2010,41,3
iq,2010,42,6
iq,2010,43,6
iq,2010,44,5
iq,2010,45,4
iq,2010,46,7
iq,2010,47,5
iq,2010,48,7
iq,2010,49,6
iq,2010,50,7
iq,2010,51,4
iq,2011,52,4
iq,2011,1,5
iq,2011,2,6
iq,2011,3,4
iq,2011,4,4
iq,2011,5,5
iq,2011,6,6
iq,2011,7,6
iq,2011,8,7
iq,2011,9,7
iq,2011,10,6
iq,2011,11,5
iq,2011,12,6
iq,2011,13,6
iq,2011,14,4
iq,2011,15,4
iq,2011,16,5
iq,2011,17,5
iq,2011,18,5
iq,2011,19,1
iq,2011,20,3
iq,2011,21,5
iq,2011,22,4
iq,2011,23,3
iq,2011,24,4
iq,2011,25,2
iq,2011,26,3
iq,2011,27,2
iq,2011,28,1
iq,2011,29,1
iq,2011,30,2
iq,2011,31,1
iq,2011,32,1
iq,2011,33,1
iq,2011,34,1
iq,2011,35,1
iq,2011,36,2
iq,2011,37,3
iq,2011,38,2
iq,2011,39,5
iq,2011,40,3
iq,2011,41,6
iq,2011,42,7
iq,2011,43,5
iq,2011,44,4
iq,2011,45,7
iq,2011,46,8
iq,2011,47,5
iq,2011,48,7
iq,2011,49,8
iq,2011,50,12
iq,2011,51,9
iq,2012,52,6
iq,2012,1,5
iq,2012,2,6
iq,2012,3,4
iq,2012,4,2
iq,2012,5,6
iq,2012,6,6
iq,2012,7,5
iq,2012,8,6
iq,2012,9,2
iq,2012,10,4
iq,2012,11,3
iq,2012,12,2
iq,2012,13,5
iq,2012,14,4
iq,2012,15,6
iq,2012,16,5
iq,2012,17,4
iq,2012,18,5
iq,2012,19,1
iq,2012,20,4
iq,2012,21,3
iq,2012,22,2
iq,2012,23,2
iq,2012,24,2
iq,2012,25,1
iq,2012,26,2
iq,2012,27,1
iq,2012,28,1
iq,2012,29,2
iq,2012,30,1
iq,2012,31,1
iq,2012,32,1
iq,2012,33,1
iq,2012,34,1
iq,2012,35,2
iq,2012,36,1
iq,2012,37,2
iq,2012,38,1
iq,2012,39,4
iq,2012,40,3
iq,2012,41,6
iq,2012,42,6
iq,2012,43,8
iq,2012,44,5
iq,2012,45,6
iq,2012,46,8
iq,2012,47,8
iq,2012,48,6
iq,2012,49,9
iq,2012,50,6
iq,2012,51,8
iq,2013,1,6
iq,2013,2,4
iq,2013,3,5
iq,2013,4,7
iq,2013,5,7
iq,2013,6,7
iq,2013,7,7
iq,2013,8,6
iq,2013,9,5
iq,2013,10,5
iq,2013,11,6
iq,2013,12,6
iq,2013,13,6
iq,2013,14,6
iq,2013,15,6
iq,2013,16,6
iq,2013,17,6
iq,2013,18,1
iq,2013,19,6
iq,2013,20,5
iq,2013,21,3
iq,2013,22,4
iq,2013,23,3
iq,2013,24,2
iq,2013,25,1
iq,2013,26,1
